authorID,rank,name,year,fellow,compareAuthorID,deviation,hIndex,CorePaperCount,CoreCitationCount,CorehIndex,PaperCount,CitationCount
2626925166,15792,岳志 三沢,0,False,2893523298,0.0631959314775161,11,12,49,4,83,479
2427459014,14110,Lukas A. Mueller,0,False,1577021311,0.0353981867189414,43,62,4158,26,158,14807
2427459014,14110,Lukas A. Mueller,0,False,2139423477,0.0320813183639158,43,62,4158,26,158,14807
2140778852,13920,Ludo Waltman,0,False,1577021311,0.052001960303847,45,132,5385,28,230,15049
2140778852,13920,Ludo Waltman,0,False,1577021311,0.052001960303847,45,132,5385,28,230,15049
135218249,13209,John R. Douceur,0,False,1577021311,0.0563048272482233,52,126,9658,37,172,13849
135218249,13209,John R. Douceur,0,False,2028047182,0.0615338933662469,52,126,9658,37,172,13849
2165791422,13600,Charles H. K. Williamson,0,False,1577021311,0.061700563587356,49,108,14241,44,162,15285
2149625712,14023,Kristina Lerman,0,False,2120785847,0.0224778687555707,50,243,7118,45,373,9663
2149625712,14023,Kristina Lerman,0,False,2331811076,0.0192911707384978,50,243,7118,45,373,9663
2149625712,14023,Kristina Lerman,0,False,435837623,0.0445096142556011,50,243,7118,45,373,9663
2149625712,14023,Kristina Lerman,0,False,2343472808,0.0072606094654559,50,243,7118,45,373,9663
220758600,13814,Walid G. Aref,0,False,2120785847,0.0234554451966173,51,224,6464,40,317,9775
220758600,13814,Walid G. Aref,0,False,1989269690,0.0496073287151916,51,224,6464,40,317,9775
220758600,13814,Walid G. Aref,0,False,2155251200,0.0477931620513845,51,224,6464,40,317,9775
220758600,13814,Walid G. Aref,0,False,2331811076,0.0240401904828194,51,224,6464,40,317,9775
220758600,13814,Walid G. Aref,0,False,435837623,0.0404363457441753,51,224,6464,40,317,9775
220758600,13814,Walid G. Aref,0,False,2343472808,0.0259368091795815,51,224,6464,40,317,9775
2022884359,13924,Gerardo Canfora,0,False,2120785847,0.029239971588519,53,223,6688,44,307,9531
2022884359,13924,Gerardo Canfora,0,False,2146676729,0.0576081698432091,53,223,6688,44,307,9531
2022884359,13924,Gerardo Canfora,0,False,2056937161,0.0286520044437483,53,223,6688,44,307,9531
2022884359,13924,Gerardo Canfora,0,False,2331811076,0.0292126342776269,53,223,6688,44,307,9531
2035111836,14074,Michel Dumontier,0,False,2120785847,0.0327999258830933,40,115,1471,22,316,9430
2035111836,14074,Michel Dumontier,0,False,2056937161,0.0110109381197791,40,115,1471,22,316,9430
2035111836,14074,Michel Dumontier,0,False,2331811076,0.0328131887891233,40,115,1471,22,316,9430
2035111836,14074,Michel Dumontier,0,False,148409839,0.0267733497461146,40,115,1471,22,316,9430
2118978742,14518,Jake Y. Chen,0,False,2120785847,0.040650354557817,49,140,3567,29,304,9354
2118978742,14518,Jake Y. Chen,0,False,2056937161,0.0108082177143969,49,140,3567,29,304,9354
2118978742,14518,Jake Y. Chen,0,False,2331811076,0.0268591505997541,49,140,3567,29,304,9354
2118978742,14518,Jake Y. Chen,0,False,148409839,0.0185535790344557,49,140,3567,29,304,9354
2207023792,13849,Bashar Nuseibeh,0,False,2167092868,0.0253916309029631,49,158,5993,33,332,10166
2101305348,13800,Anthony Steed,0,False,2167092868,0.0339137042472631,48,208,3554,33,334,9791
2618356905,14120,Xingquan Zhu,0,False,2167092868,0.0435492127404465,47,168,4306,32,325,10128
2618356905,14120,Xingquan Zhu,0,False,2146676729,0.0459791862495866,47,168,4306,32,325,10128
2618356905,14120,Xingquan Zhu,0,False,260128524,0.0410991033250942,47,168,4306,32,325,10128
1814273096,13862,Peter A. Flach,0,False,2167092868,0.0519254307651033,50,220,6226,36,352,10275
2165141584,13742,Robert B. Fisher,0,False,2167092868,0.0597819416122727,44,207,7342,36,322,10228
2165141584,13742,Robert B. Fisher,0,False,2146676729,0.049543193798949,44,207,7342,36,322,10228
2165141584,13742,Robert B. Fisher,0,False,260128524,0.0247571451767962,44,207,7342,36,322,10228
90469688,13427,Roy Pea,0,False,2282754113,0.030639768698753,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,2106636992,0.0537794039994549,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,635023701,0.0515390322121285,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,2068668851,0.0552801001684268,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,120651226,0.0664813353456734,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,2114684898,0.0399166673733875,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,718039462,0.0584681207638997,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,2165412067,0.0524244040750425,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,2408455160,0.0180218233016542,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,2065325028,0.0247232627990955,56,132,7203,40,248,14461
90469688,13427,Roy Pea,0,False,2014339847,0.0391664913388034,56,132,7203,40,248,14461
1987673751,13185,Paul Debevec,0,False,2282754113,0.0306649800027261,50,182,11939,45,264,15186
1987673751,13185,Paul Debevec,0,False,635023701,0.0083606358904669,50,182,11939,45,264,15186
534926436,13195,Eugene Garfield,0,False,2282754113,0.0318565604245694,45,212,14271,43,246,15143
534926436,13195,Eugene Garfield,0,False,635023701,0.0228117464907569,45,212,14271,43,246,15143
2016073234,13141,Nimrod Megiddo,0,False,2282754113,0.0474720542392114,59,147,10630,48,267,15374
2016073234,13141,Nimrod Megiddo,0,False,635023701,0.0328894701108334,59,147,10630,48,267,15374
26172899,13559,Michael Felsberg,0,False,2282754113,0.068877005406855,42,183,8485,31,257,14441
26172899,13559,Michael Felsberg,0,False,120651226,0.0267732246749701,42,183,8485,31,257,14441
26172899,13559,Michael Felsberg,0,False,2114684898,0.0509552575500452,42,183,8485,31,257,14441
26172899,13559,Michael Felsberg,0,False,718039462,0.0528606341096347,42,183,8485,31,257,14441
26172899,13559,Michael Felsberg,0,False,2165412067,0.0468252760635945,42,183,8485,31,257,14441
26172899,13559,Michael Felsberg,0,False,2147215243,0.0378638100660551,42,183,8485,31,257,14441
26172899,13559,Michael Felsberg,0,False,2014339847,0.0419305351006381,42,183,8485,31,257,14441
2119985572,14495,Xiaoping Liu,0,False,2024002627,0.0247478185531282,45,119,3194,27,219,7460
2119985572,14495,Xiaoping Liu,0,False,345909134,0.0249628582926616,45,119,3194,27,219,7460
1969262224,14350,Li Xiong,0,False,2024002627,0.0370753140664644,39,175,4922,33,244,7273
1972556819,14409,Dimitris Samaras,0,False,2024002627,0.0380376260907234,47,159,5266,42,245,7099
2105014955,14505,Hans van Vliet,0,False,2024002627,0.0401324339377435,45,114,3588,29,221,7117
2105014955,14505,Hans van Vliet,0,False,1925449899,0.0317483328501013,45,114,3588,29,221,7117
2065696548,14188,Daniel Wigdor,0,False,2024002627,0.0425304783711864,49,114,3121,30,239,7066
2149140732,14892,Edurne Barrenechea,0,False,2005108218,0.0009000900090008,35,22,2710,9,133,5560
2073789242,14594,Pearl Brereton,0,False,2005108218,0.0115361536153615,30,52,3125,20,133,5533
2106576185,14456,Claudio Gutierrez,0,False,2005108218,0.0133213321332132,28,68,2902,16,156,5481
2106576185,14456,Claudio Gutierrez,0,False,2069733440,0.0351055456171733,28,68,2902,16,156,5481
2094863387,14359,Tatsushi Nashida,0,False,2005108218,0.0307980798079807,34,124,3817,29,175,5426
2094863387,14359,Tatsushi Nashida,0,False,2069733440,0.0171806797853308,34,124,3817,29,175,5426
2094863387,14359,Tatsushi Nashida,0,False,2155786059,0.0440609533732743,34,124,3817,29,175,5426
1231321759,15078,Emma L. Schymanski,0,False,2005108218,0.0356735673567356,36,48,2909,19,136,5669
122968414,13595,Wojciech Matusik,0,False,2106620385,0.0119253869253868,64,192,8523,45,339,14278
122968414,13595,Wojciech Matusik,0,False,2087252583,0.0617061200923787,64,192,8523,45,339,14278
2009107774,13846,Bridget Carragher,0,False,2106620385,0.029784234329689,58,172,8865,42,305,14483
2009107774,13846,Bridget Carragher,0,False,118037170,0.0406265121972047,58,172,8865,42,305,14483
2083198532,13964,Andre Dekker,0,False,2106620385,0.0404479495388585,54,139,2942,30,306,14347
